Deparment Initials/Program, Year, Semester, Shop Number, Description
DLA,1,1,1,Physical Fitness
DLA,1,1,2,Understanding the Self
DLA,1,2,1,Readings in Philippine History
DLA,1,2,2,Purposive Communication
DLA,1,2,3,Science, Technology, and Society
DLA,1,2,4,Rhythmic Activities
DLA,2,1,1,Ethics
DLA,2,1,2,Life and Works of Rizal
DLA,2,1,3,Individual and Dual Sports
DLA,2,2,1,The Contemporary World
DLA,2,2,2,Environmental Science and Engineering
DLA,2,2,3,Team Sports
DLA,3,1,1,Art Appreciation
DLA,3,2,1,People and Earth Ecosystem
DLA,4,1,1,Indigenous Creative Crafts
